Dealership_Name,Location,Total_Cars_Sold,Total_Revenue
Chauveau Philippe et Fils,Saint Rémy,4848,7559224.12
Rey,Hamon,3824,20774430.73
Leroy,Barre,4527,11824190.68
Delaunay S.A.,Chevalier-sur-Blanchard,1888,18301614.97
Berthelot,Guyot-les-Bains,3595,6278079.67
Nicolas,Sainte Stéphanie,2652,33419158.69
Perret S.A.,Jacquotnec,1542,45434731.75
Gérard,Saint Jeanninedan,1577,30699778.87
Collet,Monnier,4543,13198777.64
Gaillard,Gilbert,1295,44421029.76
Roche S.A.,Clerc,4093,22679824.64
Léger,Saint Suzanne,2431,8349276.42
Launay,Saint Bernarddan,3320,43571831.77
Petit,Perrier-sur-Bertrand,4268,23868243.22
Bailly Rousseau S.A.,Mathieu-sur-Mace,1417,9551521.81
Pichon Peron et Fils,Étiennedan,1331,46450980.32
Lacroix Meunier S.A.S.,Garnier,2966,17668666.39
Tanguy SA,PasquierBourg,1725,27748591.57
Olivier,Perez-les-Bains,3775,20603123.27
Henry Hernandez SARL,Léger,1045,48099548.77
Marie,Saint Marcelle-sur-Mer,281,21942262.2
Guibert S.A.R.L.,Lefebvre,3100,37200016.57
Gaudin,Saint Philippe-les-Bains,482,7059018.29
Blanchard Hebert SARL,PerrotBourg,2344,6253353.77
Payet,Le Gall,1015,6787709.23
Olivier et Fils,Thomas,4055,21725939.73
Barbier,Nguyen,1573,41121931.79
Duval S.A.R.L.,Richard-sur-Mer,2896,1026260.32
Peron,Ollivier,3291,22974460.21
Bruneau Charles S.A.R.L.,Renauddan,4955,22377344.23
Le Gall,Meunier-sur-Pages,2925,5366103.16
Lefebvre S.A.,Bouvet-la-Forêt,1130,39653309.37
Potier,Saint Marcel,1365,12471448.81
Guyon et Fils,Didierboeuf,2439,46448755.65
Richard SARL,Pelletier-sur-Mary,4562,26437071.57
Gauthier Gaillard S.A.,Guillouboeuf,3813,19416218.48
Gomes et Fils,Blanchet,3545,17985667.8
Pierre Richard et Fils,Blin-les-Bains,787,46999268.6
Blin,Dubois,1164,32394016.62
Ferreira,CarpentierVille,2544,32355910.79
Brunel Denis SARL,Saint Marguerite-la-Forêt,1060,7008625.35
Pons SARL,Pascal-la-Forêt,1088,21659143.46
Gilles,Thomas,1931,24733971.46
Leroy,Saint Alix,3649,17266791.59
Gimenez S.A.,Marie,4953,10241157.49
Thierry Garnier S.A.S.,Dubois,3610,16851018.36
Tanguy,Paul-les-Bains,4331,43549043.07
Collin Samson SARL,Bonneau-sur-Mer,3612,31457557.25
Loiseau,Georges-sur-Mer,1551,17683779.2
Duval,Toussaint,378,40726832.04
Legros,Pineau,4102,23081870.8
Prévost,Marie-sur-Fournier,2907,6074486.27
Lebrun Simon S.A.,SeguinVille,2928,37864953.28
Robert,Raynaud,976,34887052.98
Techer Blanchet SARL,Gaillard,3795,25245750.92
Briand SARL,Benard,3959,39659399.51
Lagarde SARL,Saint Lucy,3832,24653097.79
Diaz et Fils,Teixeira,3464,49692819.44
Benoit S.A.S.,Saint ArnaudeBourg,933,41826729.58
Guichard et Fils,Gilletboeuf,522,40888146.4
Bouchet et Fils,Chauvet,810,42329794.4
Leroux Menard S.A.R.L.,BouvierVille,1564,41549102.69
Besson,Prévostboeuf,1702,23830527.72
Raymond,HebertVille,4004,33957963.93
Lefort,Saint Brigitte,344,12000623.8
Dupont S.A.,GauthierVille,3355,20426708.73
Valette SARL,Sainte Odette,2009,16145921.44
Vallée,Loiseau-sur-Michel,2563,34419180.36
Pereira S.A.,Rossi-les-Bains,1508,43677841.24
Vasseur,Boutin-sur-Lopez,3769,25922737.88
Lejeune SARL,Saint Gilbert-les-Bains,2622,35828895.31
Huet,Menard-sur-Mer,4222,22130068.56
Marchal,Bouvierdan,4141,17858526.8
Chrétien,Dumont,2475,46265236.85
Nicolas,Colin-sur-Mer,2708,48868828.67
Besnard SA,Lacombe,1896,10708529.76
Lopez,Grégoire-la-Forêt,2779,16213085.28
Maury,Bouvier-sur-Da Silva,3803,23135139.21
Blanchet,Toussaint,1386,28850796.53
Camus S.A.S.,Peltier,650,13563617.16
Jacquet,Evrard,3958,34193974.37
Perrot Julien SA,Joseph-la-Forêt,833,14804613.75
Letellier SARL,MartinezVille,3086,45009883.04
Adam,Pineau-les-Bains,3761,5291571.66
Lebon,Martineauboeuf,904,34389167.08
Hervé,Collet,2138,20781931.28
Guibert SA,Sainte Clémence,4785,27866479.2
Legrand Roux S.A.S.,Sainte Denise,4529,4595687.0
Millet Lecomte et Fils,Gaillard,1388,11695045.46
Parent Letellier et Fils,RogerBourg,4789,11475869.87
Barre,MartyBourg,3234,23863625.25
Bouvier SA,Bonnet,4885,6100122.99
Henry,Auger,2999,14983347.25
Lemonnier,Clerc,203,31070380.48
Bonnin S.A.,Perrot,1660,10533769.34
Martineau,Brun,322,40152594.22
Turpin,Robinnec,2619,48041342.63
Leclerc,Sainte Émilie-la-Forêt,3991,14579803.58
Rey S.A.R.L.,Saint Théodore,3864,21623239.56
Lemaire Barre SA,Ferreira,3388,48767912.25
Pasquier,Delannoy,4175,33079858.53
Millet,Colin,124,6942077.01
Leduc SARL,Bonnet,2615,35511649.47
Perrier Lagarde SARL,Gauthier,974,36602893.03
Lambert Gimenez SA,De Sousa-la-Forêt,1454,11536753.37
Benard Blot S.A.,Rogerdan,4441,29633077.74
Gros,Saint Étienne,1020,30868522.99
Baudry,LaunayBourg,4617,16829786.88
Chevalier,Sainte Stéphane,3483,13842412.31
Bègue S.A.S.,Françoisdan,3664,22703071.3
Alexandre,Peltier,4929,1323806.3
Chevallier,Maillardnec,4180,25170371.27
Sauvage Boucher S.A.R.L.,Saint Claudine,4886,7847480.95
Georges Bazin S.A.R.L.,Becker,2963,4757871.04
Masse S.A.R.L.,Fernandes-sur-Julien,359,18943982.18
Gilles,Sainte Alexandre,2420,3759507.23
Riou et Fils,Gonzalez,2882,11330964.97
Ferreira S.A.R.L.,Saint Camille,1156,17525782.9
Rivière,Pruvost,2389,5060645.32
Renaud,Boucher,3756,49229808.9
Lopez Klein S.A.,Bertin,2728,27273594.1
Hubert Michel SARL,Hardy,2673,33451194.25
Mercier,Gimenez-la-Forêt,633,49758939.85
Gilles Torres S.A.R.L.,Rousseau,2553,12069313.95
Verdier Ledoux SARL,Martins,4962,27468080.75
Martineau,Delannoy,1003,40891747.74
Traore Collin S.A.R.L.,Sainte Alix-sur-Mer,2363,42714422.59
Olivier,ChrétienBourg,3619,26063825.27
Pruvost,Allain-la-Forêt,801,20578848.73
Aubert Charpentier S.A.R.L.,Sainte Valentine-les-Bains,3559,48650564.4
Martins Joseph S.A.,LambertVille,2301,17139208.96
Marin Schneider S.A.R.L.,Clerc,4953,23903020.22
Colin,Michaud-sur-Mer,1481,9007130.26
Roussel,Saint Céline,895,23548428.72
Fleury,Delattre,2573,38391369.16
Rousseau,Evrard,4678,24550634.03
Blin,Meyer,878,34766858.4
Maillot,Leduc-sur-Legros,650,5931124.14
Andre,Hernandez-sur-Lecomte,1235,36706098.03
Faivre,Saint Paul,1013,30399088.92
Georges SARL,Sainte Sabine-sur-Mer,4979,4966315.1
Pasquier,Rousset,2908,40113108.1
Dubois,Courtois,2427,38574164.82
Boulanger Dumas S.A.S.,Albertnec,2164,23371857.54
Lemoine S.A.S.,Saint Laurent,3083,30461137.36
Vallet Rocher et Fils,Jacquet,1986,25627780.69
Berthelot Perret S.A.,Sainte Victor-les-Bains,2495,17555302.02
Cousin SA,Masson,229,19622588.44
Legrand SARL,Hamelboeuf,4181,27962288.96
Chevallier Dijoux SA,Imbert,3565,4922557.61
Delaunay S.A.R.L.,Humbert-la-Forêt,4333,10379751.52
Raymond,Alexandre-les-Bains,4299,33679439.46
Masson,Sainte Isabelle,4736,17422295.34
Chauveau S.A.,CamusBourg,4910,3707612.12
Léger,NeveuBourg,835,26142047.09
Briand,Lenoirnec,707,5013524.37
Cousin et Fils,Gimenez,1683,21400235.71
Nguyen,Raymondboeuf,4803,34001256.83
Lefort,Rousselboeuf,1311,14845795.76
Marchand et Fils,Garcia-sur-Colin,1583,30076771.0
Hervé,Garcia-sur-Didier,3931,37457466.76
Potier Mary S.A.S.,Chauvetboeuf,2631,27902615.44
Grenier,Clément,4494,8827957.01
Gay Maillet S.A.R.L.,BourdonBourg,4043,13486526.27
Tessier Monnier S.A.,Sainte Margot-les-Bains,3080,17541047.68
Pichon,Leroy,3053,46221993.81
Descamps,Devaux,1165,44789798.05
Raynaud S.A.S.,Blanchard,1250,41310920.27
Dos Santos Adam S.A.,MalletVille,1587,19428157.66
Lemaire,MonnierVille,4835,34768887.19
Delorme SARL,Couturier,1229,34280960.9
Pelletier S.A.S.,Texier,1977,41043007.1
Thierry,Guilletboeuf,3716,3776022.57
Besson,Garcia-les-Bains,137,24768218.82
Mallet Cordier S.A.,Gilbert,1773,47749728.76
Boyer Lemoine SA,Perez,1111,26299274.59
Guilbert,Robert,2364,10028851.64
Rémy,Cordier,1825,13899282.54
Grondin Guyot SARL,ClercBourg,706,2580131.26
Ledoux Lenoir et Fils,Saint Adriennedan,1185,29839285.97
Payet,Sainte Colette-sur-Mer,2149,4435918.19
Mendès Evrard SARL,Sainte Honoréboeuf,1601,28663205.68
Arnaud et Fils,Mahe,2493,16021846.29
Olivier et Fils,Chrétienboeuf,4084,15846495.27
Humbert,Gomes-sur-Chauvin,4984,42127093.04
Morvan,Da Silva,1309,16589427.03
Louis SARL,Richard-sur-Mer,3658,43279329.66
Bègue S.A.,David,2025,41787040.35
Hernandez Carre SARL,PerrotBourg,1052,39585514.65
Techer Delorme S.A.S.,Leroy,4824,20008641.77
Godard Potier SA,Guibert,2349,2861089.07
Sauvage S.A.R.L.,Pages,922,23288461.39
Rolland Nicolas SA,Thibaultdan,914,38857821.63
Leroy Lelièvre S.A.S.,Jacob-la-Forêt,1602,38242969.87
Vidal et Fils,Launay-les-Bains,1722,8732206.93
Masson,Martin-sur-Da Silva,4358,4788422.0
Berthelot,Joseph-sur-Fontaine,2507,7728505.58
Maillot Godard S.A.R.L.,Rolland,1954,11807551.06
Hoarau S.A.S.,Bourgeois-les-Bains,2375,26729956.89
Berthelot,Joseph,2235,32409052.37
Lenoir,Le Rouxdan,1892,7332619.49
Pires,Boulay,2429,43379649.79
Prévost SA,Coste-la-Forêt,103,13263449.59
Mathieu SA,Roy-sur-Mer,4567,14556284.81
Mendès Mace S.A.S.,Jean,1379,20779830.51
Étienne Lambert S.A.S.,Voisindan,3617,17568354.41
Gérard,Antoine,3845,32711551.7
Besnard Legrand S.A.,Hervé,2738,25793877.8
Da Costa,Saint Luce,1681,17485913.84
Besson,Caron,2570,18066850.08
Jacquot,Guyot,3492,27272188.79
Dias SA,Pons,1610,33010844.05
Moreno Techer S.A.S.,Marchand-sur-Noël,2685,11309139.1
Lacombe,Schneiderdan,265,35539387.18
Mallet SARL,Pascal,4294,49505988.87
Vaillant Bernier SARL,Allard-sur-Guyot,4431,36003932.78
Fernandez Léger S.A.,Gosselin,1464,13788414.24
Perrin Dufour S.A.S.,VasseurVille,562,2261470.44
Thomas,Le Gall,1379,28863427.74
Thibault S.A.R.L.,Masse,1514,9144426.13
Dumas et Fils,Sainte Isaac,2419,35099952.38
Letellier,Saint Alexandre,195,2673756.22
Gonzalez,Noël,3376,27405436.58
Guilbert,Charrier,2170,45546133.06
Denis S.A.S.,Saint Luce,2026,15012854.14
Dumas,Buisson,1727,26788447.13
Pereira,Saint Lauredan,4124,41698793.25
Lambert,Maréchal,1944,43383465.13
Auger et Fils,Boucher,850,7082084.46
Rodriguez,Saint Amélie-sur-Mer,1414,46743109.13
Vidal S.A.S.,Vasseurnec,2155,10576992.85
Roger Chauvin S.A.S.,Sainte Thierry,4885,39451579.21
Hervé Roy SARL,Delaunay,2152,27988962.0
Bruneau S.A.S.,Colas-la-Forêt,1192,37334568.74
Leclerc,Pons,1995,12305609.77
Maréchal,Saint Joseph-sur-Mer,297,38798894.82
Rémy,Sainte Thibault-la-Forêt,3574,39778375.86
Menard,David,4745,25129678.59
Daniel et Fils,Duval,3998,36765708.43
Laurent SA,Berthelot-sur-Gimenez,2367,8921010.7
Lagarde Gauthier S.A.,Saint Virginie,1007,30728611.31
Rémy S.A.,EvrardVille,4908,32769046.7
Jourdan Faivre et Fils,Saint François,4443,16465988.93
Boulay Roussel et Fils,Schmitt-les-Bains,4946,25673421.58
Marques Bertrand SA,Tessier,1717,11566978.68
Antoine,Normand,219,23008553.14
Marion Ledoux SA,Durand,2480,45550635.05
Lévy,GeorgesBourg,1692,37060024.46
Guérin SARL,Hebert-sur-Bousquet,1240,9708240.86
Deschamps,Maurice,1992,18340120.98
Bonnin S.A.S.,Deschamps,2727,29943556.07
Renaud,Colas-sur-Diaz,3300,14574763.09
Hoareau et Fils,Dias,1347,19513885.71
Royer S.A.R.L.,Laurent,2796,15942177.78
Fleury et Fils,Leconte,997,12927679.87
Guillou et Fils,Lagarde,2701,19972121.99
Rocher Gaillard S.A.R.L.,Tessier,4479,9097186.58
Jacques,Collet-la-Forêt,4657,5679180.05
Blin,Sainte Roland-sur-Mer,2899,47226226.96
Munoz Tessier S.A.,Seguin,1125,7743355.57
Mercier Robert S.A.S.,Boulanger,4338,12946595.62
Le Goff et Fils,Hardy-sur-Ollivier,1489,31267353.51
Fontaine Hamon S.A.S.,Bouvier-sur-Chauvet,1285,23032443.28
Dufour,PeltierVille,4784,26844334.81
Brunet,Duval-sur-Barthelemy,689,40740589.54
Bigot Becker et Fils,Sainte Margauxdan,4957,13066860.79
Roger,Gay,2590,39910573.12
Marie S.A.R.L.,Courtoisboeuf,3228,45184445.87
Durand Boulay S.A.S.,Clerc,2243,13355872.12
Gomes,Noëldan,3100,48773168.42
Mace Fontaine et Fils,Saint Margot,2750,43982782.72
Rolland,Imbert-sur-Bouchet,960,45301128.37
Hervé SA,Sainte Thibaut,153,23430988.23
Joly S.A.R.L.,Duval,3105,28828040.22
Meyer S.A.S.,Carlierboeuf,4771,46854120.13
Riou,Muller,106,26020748.75
Godard,Perez,1984,3248645.45
Robin,Couturier-sur-Gauthier,3053,45222169.02
Delorme S.A.S.,Robert,4656,46118558.13
Chauvet Jacob SA,Leconte,4494,5535318.46
Pichon Marchand S.A.R.L.,Saint Capucineboeuf,4999,12340239.95
Chevalier Garcia S.A.,Saint Aurélie-la-Forêt,2178,31741186.74
Merle S.A.,Garnier,3349,34084063.73
Daniel S.A.R.L.,Le Gall,3992,39668352.81
Garnier,Sainte Nathalie,3947,21149214.59
Pages S.A.S.,Gautier,4271,36940233.65
Arnaud Devaux S.A.,Delannoy-sur-Julien,1530,48002565.14
Legendre,Gosselin,1197,17318395.83
Launay S.A.,Sainte Margaud,3730,22248717.53
Lelièvre,Lecoq,3042,43212311.6
Coulon,Saint Lucas-la-Forêt,4070,15732921.06
Lebreton,Millet-sur-Ruiz,2404,17902803.07
Rodriguez Costa et Fils,Saint Lucy,2586,40620927.57
Weiss,Mallet,891,38645989.38
Ferrand Bouchet S.A.S.,LegendreVille,3476,3035718.27
Fournier Thierry et Fils,Lefèvre,4874,20044505.37
Clerc,Robin,4265,6797873.8
Dos Santos et Fils,Saint Aurore,4588,24841695.65
Sauvage,Allain,3587,10202483.39
Alexandre Hamon S.A.R.L.,Diaz,3076,18373301.81
Charpentier SARL,Merle,3149,11789882.79
Bertin Barthelemy et Fils,Marty,3911,9156767.38
Blanc,Henry,3105,41849216.48
Hamon,Sainte Guillaume-sur-Mer,4658,12130708.18
Costa et Fils,Chauveaunec,2755,14670701.22
Gauthier,Vincent-sur-Rocher,1822,11431364.3
Valette S.A.R.L.,Petitjean,2513,42644982.58
Baudry,Royer,4697,44619378.03
David Pons SARL,Gérard,4539,4976891.98
Masse S.A.,Gomesboeuf,4284,35739528.83
Lemaire S.A.S.,Ramos,3765,47650994.05
Boutin,Sainte Daniel-sur-Mer,1875,39676102.56
Thibault,Sainte Marinedan,4015,45887010.36
Lemaire Ollivier SA,Chauvetdan,3534,13243442.74
Lebon,VincentBourg,3280,41346833.78
Robin,Cordier,2347,24444039.41
Thierry SA,Morvan,2680,8239401.01
Perrin S.A.S.,Sainte Laurent,2736,13514367.45
Leroux,Girard-sur-Pinto,3275,22118935.07
Morin,BlondelBourg,3186,41825348.86
Roussel SA,Jean,1429,9603053.69
Blondel,Sainte ThérèseBourg,4957,10084032.87
Le Gall,Moulin,3663,19208453.91
Dupuis,Perrierboeuf,3204,6886089.26
Bernard,Peron,4907,37543333.39
Blanc Roy S.A.,Saint Rogerdan,4793,34875628.59
François,Renault-sur-Mer,4353,27814480.52
Leroux,Pichon,4870,22582506.91
De Oliveira Pineau SA,Legrand,2375,2183915.53
Leroy,CharlesVille,4967,3602472.0
Dufour S.A.,Saint Christianenec,1205,35539353.8
Charrier S.A.S.,Pinto,4947,35079122.13
Lemoine,Costa,4414,14971436.98
Potier,Saint Tristan-les-Bains,2732,45740316.65
Mary S.A.R.L.,Sainte MaggieVille,2946,49406228.4
Marin SA,LaunayVille,2350,34764216.72
Lucas,Berger,1399,29067509.08
Gomez S.A.S.,MartinVille,4157,17501766.81
Étienne,Lerouxdan,502,6637424.88
Gaudin et Fils,Allard-sur-Gilles,296,46959729.99
Lagarde,Martineau,2626,30785384.4
Berger SARL,AlbertBourg,962,25909382.77
Lemaire,Couturier,1422,17787952.86
Gonzalez Vincent S.A.,Costa,3967,10184372.05
Valette,Clément,3117,42206073.87
Aubert S.A.S.,Sainte Marcelle,3624,18329350.14
Huet SA,SimonVille,4729,27609390.3
Lesage SARL,Saint Célina,831,1393767.01
Daniel,Brunelboeuf,2829,1775701.91
Camus Thierry S.A.R.L.,Lemaire,2358,23451470.69
Lebon,Munoznec,4123,19367627.5
Poulain,Delattreboeuf,1739,7193148.86
Lamy S.A.S.,Gallet,1743,40393359.43
Fouquet Meunier S.A.R.L.,Sainte Anastasie,1696,26081401.34
Hebert,Lerouxboeuf,187,36128332.93
Mallet,Humbert,473,12838985.38
Lemonnier Rolland S.A.,Cousin,225,11849502.99
Royer,Guillaume,794,28898438.59
Vallet,Raynauddan,1087,8119821.22
Peron Henry SA,Étienne-sur-Navarro,1263,26105421.17
Gonzalez,Saint Rémy-la-Forêt,4790,38138073.67
Bernier,CousinBourg,654,38599531.68
Colin SA,Klein,633,49345888.0
Gallet et Fils,Sainte Thibaultboeuf,2226,17980720.33
Techer,RouxVille,571,12359534.82
Martel S.A.S.,Ferrand-sur-Letellier,3133,39667434.67
Godard et Fils,Parent-sur-Guillon,1199,15272997.86
Albert Weiss et Fils,Martin-sur-Mer,4460,33215387.9
Dupuis Loiseau SA,Buisson,4084,3110308.5
Meunier,Blanchard,2496,6842414.23
Guillon,Saint Denise,1773,18135533.27
Bailly,De Oliveira-sur-Poulain,4600,22381041.63
Teixeira SA,Torres,4547,13804434.87
Ollivier,Saint Pénélope,1157,45510164.24
Ribeiro,DelaunayVille,1257,29050256.13
Laurent Marchand S.A.,HoarauVille,3318,1033413.05
Moreno,Pasquiernec,238,34459949.31
Mendès,Breton-sur-Torres,829,38217551.36
Charles et Fils,Sainte Claude,4929,25601284.44
Olivier S.A.,GosselinBourg,122,43710136.46
Lamy Lemonnier SA,Guyon,1012,38205940.73
Lecoq,Diasnec,3222,16384672.45
Gros,GuérinVille,3421,3608939.3
Joly,Poirierboeuf,1969,10289714.64
Toussaint,Sainte Robert,927,47747823.08
Guichard,Delmas-sur-Bruneau,1278,42469166.79
Techer,Sainte Nathalie,516,5583208.38
Delattre Lemaire S.A.S.,Grondin,4064,1704477.76
Benoit,Saint Alexandrenec,970,33910720.6
Normand SARL,Saint Anouk-les-Bains,2434,28236539.31
Gilbert,Mace-sur-Fernandez,469,25710909.35
Pasquier,Blanchard-les-Bains,2978,6319852.61
Guyot Gonzalez SARL,Gilles,3710,43230673.92
Bodin SA,Rémy-sur-Meunier,3292,30388500.61
Rossi,Pineaudan,1438,31539273.04
Faivre Roussel S.A.S.,Olivier,662,37173806.87
Guillot S.A.S.,Simon,4100,5541634.43
Pasquier Faivre S.A.,HebertBourg,2800,10644157.57
Besson,Benoit,547,16867999.72
Costa,KleinVille,612,47232465.1
Neveu S.A.S.,Sainte Virginie,4694,22629269.37
Bonnet S.A.R.L.,Sainte BenjaminBourg,3726,25932054.94
Guillou,Delannoy-sur-Dias,1469,40135581.82
Jourdan,Sainte ValentineVille,1549,42325350.84
Texier,Saint ÉricBourg,1260,24813883.94
Chartier,Schmitt-sur-Bourdon,4692,16808350.91
Thibault,Perrotdan,4549,8783171.93
Carre,Cohen,1216,43732486.06
Germain SA,Bonnin-les-Bains,3324,25225286.38
Guillon,Rocher,2894,12766346.12
Duhamel,Marchand-les-Bains,2741,46692784.21
Maurice,LeblancBourg,4843,10912839.82
François Aubry et Fils,Joseph-la-Forêt,520,25480852.76
Gaudin Bègue S.A.R.L.,Lejeune,791,9733633.73
Pottier S.A.,Marty,3486,47431682.11
Dumas S.A.R.L.,Morel,1540,21411884.17
Laine,Bruneau,4075,4887867.78
Becker et Fils,Sainte Alexandrienec,2687,3739672.85
Guillou Bazin SARL,Perrier,4780,7138985.04
Legros SA,Loiseauboeuf,3242,44640037.95
Martineau et Fils,Barbe,638,32803491.12
Bailly,Dijouxdan,1857,31137030.24
Moulin Langlois SARL,Lopes,417,40238609.71
Paris,Sainte Bertrand-sur-Mer,3856,44654096.62
Rivière,De Sousaboeuf,1165,36158753.37
Hebert Bouchet S.A.,Rey,135,27997345.11
Gros Joseph SARL,ClémentBourg,960,7426531.75
Lamy Dupont et Fils,Navarro-sur-Payet,4064,15190916.92
Rodriguez,Pottier,550,17591544.62
Lelièvre,Ledoux-sur-Ferrand,4928,20218972.4
Ollivier S.A.R.L.,Thibault-sur-Mer,4038,47102259.3
Duhamel SA,Valette,2038,14863480.9
David Foucher SARL,Gautier,258,34981423.42
Lopez et Fils,Vallet-la-Forêt,4916,32190353.15
Prévost et Fils,Brunel,4288,23733341.73
Thierry,Rivière-sur-Lucas,2623,5849090.85
Hoareau et Fils,LemoineBourg,1428,34235150.32
Joly,Bourgeois,4897,40403371.23
Le Roux,Poulain,2104,34287549.42
Lefebvre S.A.R.L.,Legrand,4682,11115184.54
Fouquet,Carre,2535,16189783.73
Payet S.A.R.L.,Le Gall,4491,44571798.88
Andre,Pasquier,1897,12927228.95
Baudry S.A.R.L.,Thomas-sur-Renard,2051,10351765.4
Boulanger S.A.,NeveuVille,1136,29430395.14
Guillot S.A.R.L.,RaymondVille,3376,40883147.32
Dupuy Legrand et Fils,Saint Tristannec,823,46238622.62
Joubert Neveu S.A.S.,Gaynec,4554,2389126.43
Boutin Valette SA,Guillon,902,25470447.58
Tanguy,Gilbert-sur-Mer,1487,16422448.17
Costa,Besson-sur-Klein,1502,33238805.24
Bouvet Laporte SA,GilletBourg,3572,43645723.78
Dupré Weiss S.A.,Gay,2715,7302985.22
Boulay,Tanguy,2583,32430607.56
Lombard SARL,Toussaint,4416,43544274.71
Moreno Rolland et Fils,Da Silva-les-Bains,2149,11879273.64
Garnier,Marchand-la-Forêt,3443,10402023.37
Pierre Tanguy S.A.S.,Rodrigues-sur-Mer,3354,15077551.79
Adam SA,Sainte Charlotte-sur-Mer,4180,10977056.75
Neveu S.A.S.,Vidal-la-Forêt,3245,31401679.38
Ollivier Payet S.A.R.L.,Meyer-les-Bains,1875,33693920.54
Marin,PonsVille,2117,4245909.98
Voisin,Auger,2757,41530490.63
Bailly Maurice et Fils,Roussel,415,32599452.17
Ramos,BourgeoisBourg,2275,4894714.32
Maillot Denis et Fils,Sainte Nathboeuf,703,27366725.98
Gilbert S.A.,Sainte Maggie-sur-Mer,1516,41813665.85
Thierry S.A.S.,Besson-sur-Gillet,2062,9009192.07
Valentin,Valentin,1907,38490605.39
Masse Aubert S.A.,Lambert-la-Forêt,2473,35326644.65
Cousin,MathieuBourg,4879,7656639.97
Lebreton S.A.S.,Renault-les-Bains,4435,19294506.15
Pasquier et Fils,Cousin,4820,10672493.61
Guibert,Bousquet-la-Forêt,1747,24099978.6
Jacques S.A.S.,MoulinVille,3461,27613424.15
Moreau et Fils,Bazin,4639,14906383.06
Lefèvre Lebrun S.A.R.L.,Lesage,4099,37628575.34
Gimenez,Meunier,128,30309528.99
Roussel S.A.,Collin-la-Forêt,3799,46442428.33
Pelletier SA,Saint Arthur,1859,46098504.24
Labbé S.A.S.,Boutin-la-Forêt,4124,3151540.69
Roux,Thibaultdan,3360,26898285.98
Guyon,Berthelot,612,30340284.84
Lesage,Leconte,1814,46456354.52
Vidal,Gauthier,4162,42245147.18
Georges S.A.R.L.,Leclercq,2764,33858302.9
Neveu,Leconte,3880,42913974.02
Rousseau Bigot SA,Prévost,1423,8029291.76
Techer Renaud SARL,Mahe,1354,42687161.95
Maury Costa et Fils,Lefort,2701,41942687.31
Laine,Payet,2068,26899778.49
Dupuy SARL,Costa,4762,31009150.02
Fernandez,Saint Colette,1801,20035090.19
Le Gall,Caron,1163,29409717.85
Leroux,Vaillant-sur-Loiseau,3867,47316432.99
Jacquet S.A.R.L.,Chevalier-sur-Poirier,2231,43667979.14
Chauvet Lecoq et Fils,Roynec,2601,37517548.31
Gosselin,Pichon-sur-Mer,1772,29768612.88
Lemaître,Julien,2598,43716773.95
Mary Rousset SA,Mathieu,272,15407411.24
Noël Pelletier S.A.R.L.,Sainte Pierre,3455,15355525.94
Boutin et Fils,Lucas,3015,27675915.62
Bernard,GrenierVille,1513,8906170.27
Grondin SARL,Ramos-sur-Chauveau,4903,14133971.87
François Legrand S.A.,MailletVille,4812,5119191.98
Voisin et Fils,Georges-sur-Gallet,2368,26607718.08
Devaux,Arnaud,3639,47165822.89
Raynaud,Godard,4099,44909894.41
Perret,Pinto,2888,31011130.76
Pages et Fils,Arnaud-sur-Bègue,629,25331321.22
Collet et Fils,Gilles,3396,38065766.25
Sauvage Jacquot S.A.,LagardeBourg,4813,2607451.73
Gallet,Antoine,3344,26694849.0
Duhamel S.A.,Texier-sur-Foucher,1478,43833734.52
Fernandes,Denis,1663,37060320.86
Leroy SA,Sainte Pauletteboeuf,4091,27552781.11
Bernard S.A.S.,Carpentier-les-Bains,2249,40380330.0
Becker S.A.S.,Chauvinboeuf,4536,46610321.75
Imbert,Maillet,1597,45918804.18
Leduc,Barbier,415,13482852.06
Dufour,Dupré,1776,36128087.6
Roussel,Meyerboeuf,818,46950706.15
Auger,Guibert-sur-Fernandez,4723,48820319.51
Lucas,Hoarau,1199,31283139.44
Huet Prévost S.A.R.L.,Legrand,3888,39748544.73
Gros,Clément,3973,34318224.14
Parent S.A.R.L.,Parent-sur-Valentin,4008,30095590.31
Besnard,Sainte Marthe-les-Bains,4746,47338244.73
Michel S.A.R.L.,Sainte Michel-la-Forêt,1561,26045596.68
Bodin,Guichardnec,4403,15556167.99
Traore,Vallée,4760,25618616.79
Hamel Lemoine S.A.S.,Paul,4568,40804667.88
Marques S.A.S.,Valentin,1827,44777761.46
Lefort SARL,Lambert,1705,9666619.65
Chrétien,Robin,3960,23564514.38
Thibault Poirier S.A.R.L.,Sainte Marine-la-Forêt,2204,3080129.84
Bonnet Guilbert SARL,Marchal-sur-Petit,1941,26725182.03
Dubois Merle S.A.,Bigotdan,3972,12656061.26
Potier,Le Gall,984,33505924.53
Sanchez,Guibert,2612,30590942.73
Chrétien,Dumont,319,49316997.04
Mahe Marty SARL,Sainte ValérieBourg,720,34195041.39
Dumont Lemaire et Fils,Bertin,4178,7624070.05
Schmitt,Roux-les-Bains,428,40863651.23
Tanguy S.A.R.L.,Guillet,2707,19213136.3
Bourdon Ferreira et Fils,Sainte Isaac-la-Forêt,2102,32399992.8
Brunet Baudry et Fils,Leroy-sur-Bernier,3558,29181883.44
Blanc Brunel SA,Sainte Michelledan,4620,33774752.53
